Algorithm,Function,Mean,Std,Best
MPA,f1,334747.0032114672,386907.1675704066,9913.552366859332
MPA,f2,33020312855764.703,104579349797380.06,4576348570.415336
MPA,f3,909.4151208179456,656.0634425973396,328.1961084703257
MPA,f4,492.49780025786407,21.306973986708844,459.0676397309
MPA,f5,596.3076207592088,18.492439392341822,552.76717825886
MPA,f6,616.0661204146899,4.999068099732408,606.1395664173391
MPA,f7,851.8715431255581,27.842114202033358,806.6975837175302
MPA,f8,880.7702086916148,13.866386437965865,851.8471307523424
MPA,f9,1290.2068429114493,368.09040957896013,947.5263662190332
MPA,f10,4085.4458249238005,474.22777194150405,3011.0810108406567
MPA,f11,1172.8327123048168,31.157235099488663,1125.4277999324436
MPA,f12,642762.0032495923,1140559.2916856895,39791.46232929164
MPA,f13,1859.6950458602557,254.48823746855356,1534.6861064445548
MPA,f14,1474.3504502958046,14.269213320921374,1449.9217474302975
MPA,f15,1617.4588984618779,33.73013170682834,1553.8687143127756
MPA,f16,2271.3779447173306,174.61381617079007,1894.5540674822946
MPA,f17,1854.9754601278617,75.85287507406863,1752.7405322196137
MPA,f18,1903.5612354114012,35.57464439628735,1849.4057465175692
MPA,f19,1941.9430225951023,8.456194341715785,1925.6314449588374
MPA,f20,2234.4035851064314,75.89844962862185,2054.978256352779
MPA,f21,2324.351571859112,75.0466973849856,2204.425695828626
MPA,f22,2304.818733108084,3.0599214169724016,2300.3987369785914
MPA,f23,2704.413835262095,52.68305802946453,2445.0892430300523
MPA,f24,2887.0815042215268,15.418671102073251,2851.11507030696
MPA,f25,2892.3340719078024,14.635630868177278,2883.677025331307
MPA,f26,2911.224130651569,73.56394816755919,2826.590936447903
MPA,f27,3215.986811178604,12.827271109958602,3186.515558572588
MPA,f28,3229.899333194087,22.46851007038162,3197.5263522411697
MPA,f29,3596.615260343687,96.32173732181792,3374.7656035202676
MPA,f30,10156.486914225032,4093.0127314698216,5775.289181638327
